"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Field crops and hay, Census of Agriculture, 2021","32100309",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210030901",1;2,"CURRENT - a cube available to the public and that is current","Every 5 years","2021-01-01","2021-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",3;4;5,""
"2","Field crops and hay",,""
"3","Unit of measure",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Division No.  4, Newfoundland and Labrador [CD100304000]","[1004]","25","24","",,
"1","Division No.  5, Newfoundland and Labrador [CD100305000]","[1005]","27","24","",,
"1","Division No.  9, Newfoundland and Labrador [CD100309000]","[1009]","30","24","",,
"1","Division No. 10, Newfoundland and Labrador [CD100310000]","[1010]","32","24","",,
"1","Division No. 11, Newfoundland and Labrador [CD100311000]","[1011]","34","24","",,
"1","Division No.  4, Subd. B, Newfoundland and Labrador [CCS100304006]","[1004006]","26","25","",,
"1","Division No.  5, Subd. E, Newfoundland and Labrador [CCS100305007]","[1005007]","28","27","",,
"1","Division No.  5, Subd. F, Newfoundland and Labrador [CCS100305010]","[1005010]","29","27","",,
"1","Division No.  9, Subd. F, Newfoundland and Labrador [CCS100309001]","[1009001]","31","30","",,
"1","Division No. 10, Subd. A, Newfoundland and Labrador [CCS100310001]","[1010001]","33","32","",,
"1","Division No. 11, Subd. C, Newfoundland and Labrador [CCS100311005]","[1011005]","35","34","",,
"1","Division No. 11, Subd. E, Newfoundland and Labrador [CCS100311040]","[1011040]","36","34","",,
"1","Census Agricultural Region 1, Prince Edward Island [CAR110100000]","[1101]","38","37","",,
"1","Census Agricultural Region 2, Prince Edward Island [CAR110200000]","[1102]","46","37","",,
"1","Census Agricultural Region 3, Prince Edward Island [CAR110300000]","[1103]","64","37","",,
"1","Kings, Prince Edward Island [CD110101000]","[1101]","39","38","",,
"1","Murray River, Part 1, Prince Edward Island [CCS110101005]","[1101005]","40","39","",,
"1","Souris, Prince Edward Island [CCS110101035]","[1101035]","41","39","",,
"1","St. Peters, Prince Edward Island [CCS110101037]","[1101037]","42","39","",,
"1","Morell, Prince Edward Island [CCS110101043]","[1101043]","43","39","",,
"1","Three Rivers, Prince Edward Island [CCS110101045]","[1101045]","44","39","",,
"1","East River, Part 2, Prince Edward Island [CCS110101052]","[1101052]","45","39","",,
"1","Queens, Prince Edward Island [CD110202000]","[1102]","47","46","",,
"1","Belfast, Prince Edward Island [CCS110202002]","[1102002]","48","47","",,
"1","Crossroads, Prince Edward Island [CCS110202010]","[1102010]","49","47","",,
"1","Vernon River, Prince Edward Island [CCS110202016]","[1102016]","50","47","",,
"1","New Glasgow, Prince Edward Island [CCS110202017]","[1102017]","51","47","",,
"1","Crapaud, Part 1, Prince Edward Island [CCS110202018]","[1102018]","52","47","",,
"1","Kingston, Prince Edward Island [CCS110202022]","[1102022]","53","47","",,
"1","Miltonvale Park, Prince Edward Island [CCS110202040]","[1102040]","54","47","",,
"1","Stanley Bridge, Hope River, Bayview, Cavendish and North Rustico, Prince Edward Island [CCS110202045]","[1102045]","55","47","",,
"1","Brackley, Prince Edward Island [CCS110202055]","[1102055]","56","47","",,
"1","East River, Part 1, Prince Edward Island [CCS110202064]","[1102064]","57","47","",,
"1","North Shore, Prince Edward Island [CCS110202067]","[1102067]","58","47","",,
"1","West River, Prince Edward Island [CCS110202068]","[1102068]","59","47","",,
"1","New London, Prince Edward Island [CCS110202071]","[1102071]","60","47","",,
"1","North River, Prince Edward Island [CCS110202072]","[1102072]","61","47","",,
"1","Charlottetown, Prince Edward Island [CCS110202075]","[1102075]","62","47","",,
"1","Cornwall, Prince Edward Island [CCS110202085]","[1102085]","63","47","",,
"1","Prince, Prince Edward Island [CD110303000]","[1103]","65","64","",,
"1","Borden, Prince Edward Island [CCS110303002]","[1103002]","66","65","",,
"1","Kinkora, Prince Edward Island [CCS110303003]","[1103003]","67","65","",,
"1","Crapaud, Part 2, Prince Edward Island [CCS110303004]","[1103004]","68","65","",,
"1","Malpeque Bay, Prince Edward Island [CCS110303007]","[1103007]","69","65","",,
"1","Wellington, Prince Edward Island [CCS110303020]","[1103020]","70","65","",,
"1","Summerside, Prince Edward Island [CCS110303025]","[1103025]","71","65","",,
"1","Miscouche, Prince Edward Island [CCS110303040]","[1103040]","72","65","",,
"1","Central Prince, Prince Edward Island [CCS110303043]","[1103043]","73","65","",,
"1","Tignish, Prince Edward Island [CCS110303061]","[1103061]","74","65","",,
"1","Alberton, Prince Edward Island [CCS110303064]","[1103064]","75","65","",,
"1","O'Leary, Prince Edward Island [CCS110303065]","[1103065]","76","65","",,
"1","Kensington, Part 1, Prince Edward Island [CCS110303067]","[1103067]","77","65","",,
"1","Census Agricultural Region 1, Nova Scotia [CAR120100000]","[1201]","79","78","",,
"1","Census Agricultural Region 2, Nova Scotia [CAR120200000]","[1202]","93","78","",,
"1","Census Agricultural Region 3, Nova Scotia [CAR120300000]","[1203]","107","78","",,
"1","Census Agricultural Region 4, Nova Scotia [CAR120400000]","[1204]","119","78","",,
"1","Census Agricultural Region 5, Nova Scotia [CAR120500000]","[1205]","130","78","",,
"1","Shelburne, Nova Scotia [CD120101000]","[1201]","80","79","",,
"1","Yarmouth, Nova Scotia [CD120102000]","[1202]","82","79","",,
"1","Digby, Nova Scotia [CD120103000]","[1203]","85","79","",,
"1","Queens, Nova Scotia [CD120104000]","[1204]","88","79","",,
"1","Lunenburg, Nova Scotia [CD120106000]","[1206]","90","79","",,
"1","Shelburne, Nova Scotia [CCS120101006]","[1201006]","81","80","",,
"1","Argyle, Nova Scotia [CCS120102001]","[1202001]","83","82","",,
"1","Yarmouth, Nova Scotia [CCS120102004]","[1202004]","84","82","",,
"1","Clare, Nova Scotia [CCS120103001]","[1203001]","86","85","",,
"1","Digby, Nova Scotia [CCS120103004]","[1203004]","87","85","",,
"1","Queens, Nova Scotia [CCS120104010]","[1204010]","89","88","",,
"1","Lunenburg, Nova Scotia [CCS120106001]","[1206001]","91","90","",,
"1","Chester, Nova Scotia [CCS120106009]","[1206009]","92","90","",,
"1","Annapolis, Nova Scotia [CD120205000]","[1205]","94","93","",,
"1","Kings, Nova Scotia [CD120207000]","[1207]","99","93","",,
"1","Hants, Nova Scotia [CD120208000]","[1208]","104","93","",,
"1","Annapolis, Subd. D, Nova Scotia [CCS120205001]","[1205001]","95","94","",,
"1","Annapolis, Subd. A, Nova Scotia [CCS120205004]","[1205004]","96","94","",,
"1","Annapolis, Subd. B, Nova Scotia [CCS120205009]","[1205009]","97","94","",,
"1","Annapolis, Subd. C, Nova Scotia [CCS120205014]","[1205014]","98","94","",,
"1","Kings, Subd. A, Nova Scotia [CCS120207001]","[1207001]","100","99","",,
"1","Kings, Subd. C, Nova Scotia [CCS120207011]","[1207011]","101","99","",,
"1","Kings, Subd. B, Nova Scotia [CCS120207016]","[1207016]","102","99","",,
"1","Kings, Subd. D, Nova Scotia [CCS120207021]","[1207021]","103","99","",,
"1","West Hants, Nova Scotia [CCS120208003]","[1208003]","105","104","",,
"1","East Hants, Nova Scotia [CCS120208008]","[1208008]","106","104","",,
"1","Halifax, Nova Scotia [CD120309000]","[1209]","108","107","",,
"1","Colchester, Nova Scotia [CD120310000]","[1210]","110","107","",,
"1","Cumberland, Nova Scotia [CD120311000]","[1211]","114","107","",,
"1","Halifax, Nova Scotia [CCS120309034]","[1209034]","109","108","",,
"1","Colchester, Subd. C, Nova Scotia [CCS120310001]","[1210001]","111","110","",,
"1","Colchester, Subd. B, Nova Scotia [CCS120310008]","[1210008]","112","110","",,
"1","Colchester, Subd. A, Nova Scotia [CCS120310012]","[1210012]","113","110","",,
"1","Cumberland, Subd. A, Nova Scotia [CCS120311001]","[1211001]","115","114","",,
"1","Cumberland, Subd. B, Nova Scotia [CCS120311006]","[1211006]","116","114","",,
"1","Cumberland, Subd. C, Nova Scotia [CCS120311009]","[1211009]","117","114","",,
"1","Cumberland, Subd. D, Nova Scotia [CCS120311014]","[1211014]","118","114","",,
"1","Pictou, Nova Scotia [CD120412000]","[1212]","120","119","",,
"1","Guysborough, Nova Scotia [CD120413000]","[1213]","124","119","",,
"1","Antigonish, Nova Scotia [CD120414000]","[1214]","127","119","",,
"1","Pictou, Subd. A, Nova Scotia [CCS120412001]","[1212001]","121","120","",,
"1","Pictou, Subd. B, Nova Scotia [CCS120412006]","[1212006]","122","120","",,
"1","Pictou, Subd. C, Nova Scotia [CCS120412011]","[1212011]","123","120","",,
"1","St. Mary's, Nova Scotia [CCS120413001]","[1213001]","125","124","",,
"1","Guysborough, Nova Scotia [CCS120413004]","[1213004]","126","124","",,
"1","Antigonish, Subd. A, Nova Scotia [CCS120414001]","[1214001]","128","127","",,
"1","Antigonish, Subd. B, Nova Scotia [CCS120414006]","[1214006]","129","127","",,
"1","Inverness, Nova Scotia [CD120515000]","[1215]","131","130","",,
"1","Richmond, Nova Scotia [CD120516000]","[1216]","135","130","",,
"1","Cape Breton, Nova Scotia [CD120517000]","[1217]","137","130","",,
"1","Victoria, Nova Scotia [CD120518000]","[1218]","139","130","",,
"1","Inverness, Subd. C, Nova Scotia [CCS120515001]","[1215001]","132","131","",,
"1","Inverness, Subd. B, Nova Scotia [CCS120515006]","[1215006]","133","131","",,
"1","Inverness, Subd. A, Nova Scotia [CCS120515011]","[1215011]","134","131","",,
"1","Richmond, Subd. A, Nova Scotia [CCS120516006]","[1216006]","136","135","",,
"1","Cape Breton, Nova Scotia [CCS120517030]","[1217030]","138","137","",,
"1","Victoria, Subd. B, Nova Scotia [CCS120518001]","[1218001]","140","139","",,
"1","Census Agricultural Region 1, New Brunswick [CAR130100000]","[1301]","142","141","",,
"1","Census Agricultural Region 2, New Brunswick [CAR130200000]","[1302]","176","141","",,
"1","Census Agricultural Region 3, New Brunswick [CAR130300000]","[1303]","209","141","",,
"1","Census Agricultural Region 4, New Brunswick [CAR130400000]","[1304]","231","141","",,
"1","York, New Brunswick [CD130110000]","[1310]","143","142","",,
"1","Carleton, New Brunswick [CD130111000]","[1311]","154","142","",,
"1","Victoria, New Brunswick [CD130112000]","[1312]","165","142","",,
"1","Madawaska, New Brunswick [CD130113000]","[1313]","170","142","",,
"1","New Maryland, New Brunswick [CCS130110001]","[1310001]","144","143","",,
"1","Manners Sutton, New Brunswick [CCS130110004]","[1310004]","145","143","",,
"1","Prince William, New Brunswick [CCS130110016]","[1310016]","146","143","",,
"1","Kingsclear, New Brunswick [CCS130110018]","[1310018]","147","143","",,
"1","Queensbury, New Brunswick [CCS130110021]","[1310021]","148","143","",,
"1","Southampton, New Brunswick [CCS130110024]","[1310024]","149","143","",,
"1","Bright, New Brunswick [CCS130110026]","[1310026]","150","143","",,
"1","Douglas, New Brunswick [CCS130110028]","[1310028]","151","143","",,
"1","Saint Marys, New Brunswick [CCS130110031]","[1310031]","152","143","",,
"1","Stanley, New Brunswick [CCS130110036]","[1310036]","153","143","",,
"1","Richmond, New Brunswick [CCS130111001]","[1311001]","155","154","",,
"1","Woodstock, New Brunswick [CCS130111004]","[1311004]","156","154","",,
"1","Northampton, New Brunswick [CCS130111008]","[1311008]","157","154","",,
"1","Brighton, New Brunswick [CCS130111011]","[1311011]","158","154","",,
"1","Wakefield, New Brunswick [CCS130111014]","[1311014]","159","154","",,
"1","Wilmot, New Brunswick [CCS130111018]","[1311018]","160","154","",,
"1","Peel, New Brunswick [CCS130111024]","[1311024]","161","154","",,
"1","Aberdeen, New Brunswick [CCS130111026]","[1311026]","162","154","",,
"1","Kent, New Brunswick [CCS130111028]","[1311028]","163","154","",,
"1","Wicklow, New Brunswick [CCS130111031]","[1311031]","164","154","",,
"1","Perth, New Brunswick [CCS130112004]","[1312004]","166","165","",,
"1","Denmark, New Brunswick [CCS130112014]","[1312014]","167","165","",,
"1","Grand Falls, New Brunswick [CCS130112016]","[1312016]","168","165","",,
"1","Drummond, New Brunswick [CCS130112021]","[1312021]","169","165","",,
"1","Saint-André, New Brunswick [CCS130113002]","[1313002]","171","170","",,
"1","Saint-Léonard, New Brunswick [CCS130113004]","[1313004]","172","170","",,
"1","Saint-Joseph, New Brunswick [CCS130113022]","[1313022]","173","170","",,
"1","Edmundston, New Brunswick [CCS130113027]","[1313027]","174","170","",,
"1","Haut-Madawaska, New Brunswick [CCS130113031]","[1313031]","175","170","",,
"1","Saint John, New Brunswick [CD130201000]","[1301]","177","176","",,
"1","Charlotte, New Brunswick [CD130202000]","[1302]","179","176","",,
"1","Sunbury, New Brunswick [CD130203000]","[1303]","187","176","",,
"1","Queens, New Brunswick [CD130204000]","[1304]","191","176","",,
"1","Kings, New Brunswick [CD130205000]","[1305]","196","176","",,
"1","Saint Martins, New Brunswick [CCS130201001]","[1301001]","178","177","",,
"1","Campobello Island, New Brunswick [CCS130202004]","[1302004]","180","179","",,
"1","West Isles, New Brunswick [CCS130202006]","[1302006]","181","179","",,
"1","Lepreau, New Brunswick [CCS130202008]","[1302008]","182","179","",,
"1","Pennfield, New Brunswick [CCS130202011]","[1302011]","183","179","",,
"1","Saint James, New Brunswick [CCS130202039]","[1302039]","184","179","",,
"1","Saint David, New Brunswick [CCS130202042]","[1302042]","185","179","",,
"1","Dumbarton, New Brunswick [CCS130202044]","[1302044]","186","179","",,
"1","Blissville, New Brunswick [CCS130203001]","[1303001]","188","187","",,
"1","Lincoln, New Brunswick [CCS130203008]","[1303008]","189","187","",,
"1","Maugerville, New Brunswick [CCS130203016]","[1303016]","190","187","",,
"1","Gagetown, New Brunswick [CCS130204004]","[1304004]","192","191","",,
"1","Wickham, New Brunswick [CCS130204008]","[1304008]","193","191","",,
"1","Cambridge, New Brunswick [CCS130204011]","[1304011]","194","191","",,
"1","Chipman, New Brunswick [CCS130204024]","[1304024]","195","191","",,
"1","Hampton, New Brunswick [CCS130205006]","[1305006]","197","196","",,
"1","Kingston, New Brunswick [CCS130205014]","[1305014]","198","196","",,
"1","Grand Bay-Westfield, New Brunswick [CCS130205015]","[1305015]","199","196","",,
"1","Norton, New Brunswick [CCS130205016]","[1305016]","200","196","",,
"1","Sussex, New Brunswick [CCS130205021]","[1305021]","201","196","",,
"1","Waterford, New Brunswick [CCS130205024]","[1305024]","202","196","",,
"1","Cardwell, New Brunswick [CCS130205026]","[1305026]","203","196","",,
"1","Havelock, New Brunswick [CCS130205028]","[1305028]","204","196","",,
"1","Studholm, New Brunswick [CCS130205031]","[1305031]","205","196","",,
"1","Springfield, New Brunswick [CCS130205034]","[1305034]","206","196","",,
"1","Kars, New Brunswick [CCS130205036]","[1305036]","207","196","",,
"1","Rothesay, New Brunswick [CCS130205045]","[1305045]","208","196","",,
"1","Albert, New Brunswick [CD130306000]","[1306]","210","209","",,
"1","Westmorland, New Brunswick [CD130307000]","[1307]","216","209","",,
"1","Kent, New Brunswick [CD130308000]","[1308]","224","209","",,
"1","Hopewell, New Brunswick [CCS130306001]","[1306001]","211","210","",,
"1","Alma, New Brunswick [CCS130306007]","[1306007]","212","210","",,
"1","Elgin, New Brunswick [CCS130306008]","[1306008]","213","210","",,
"1","Hillsborough, New Brunswick [CCS130306011]","[1306011]","214","210","",,
"1","Coverdale, New Brunswick [CCS130306014]","[1306014]","215","210","",,
"1","Westmorland, New Brunswick [CCS130307001]","[1307001]","217","216","",,
"1","Botsford, New Brunswick [CCS130307004]","[1307004]","218","216","",,
"1","Beaubassin East, New Brunswick [CCS130307005]","[1307005]","219","216","",,
"1","Sackville, New Brunswick [CCS130307008]","[1307008]","220","216","",,
"1","Memramcook, New Brunswick [CCS130307013]","[1307013]","221","216","",,
"1","Moncton, New Brunswick [CCS130307019]","[1307019]","222","216","",,
"1","Salisbury, New Brunswick [CCS130307024]","[1307024]","223","216","",,
"1","Dundas, New Brunswick [CCS130308001]","[1308001]","225","224","",,
"1","Wellington, New Brunswick [CCS130308004]","[1308004]","226","224","",,
"1","Saint Mary, New Brunswick [CCS130308006]","[1308006]","227","224","",,
"1","Weldford, New Brunswick [CCS130308014]","[1308014]","228","224","",,
"1","Richibucto, New Brunswick [CCS130308016]","[1308016]","229","224","",,
"1","Saint-Charles, New Brunswick [CCS130308019]","[1308019]","230","224","",,
"1","Northumberland, New Brunswick [CD130409000]","[1309]","232","231","",,
"1","Restigouche, New Brunswick [CD130414000]","[1314]","237","231","",,
"1","Gloucester, New Brunswick [CD130415000]","[1315]","241","231","",,
"1","Glenelg, New Brunswick [CCS130409004]","[1309004]","233","232","",,
"1","Southesk, New Brunswick [CCS130409026]","[1309026]","234","232","",,
"1","Newcastle, New Brunswick [CCS130409031]","[1309031]","235","232","",,
"1","Alnwick, New Brunswick [CCS130409036]","[1309036]","236","232","",,
"1","Durham, New Brunswick [CCS130414001]","[1314001]","238","237","",,
"1","Dalhousie, New Brunswick [CCS130414008]","[1314008]","239","237","",,
"1","Saint-Quentin, New Brunswick [CCS130414021]","[1314021]","240","237","",,
"1","Tracadie, New Brunswick [CCS130415002]","[1315002]","242","241","",,
"1","Beresford, New Brunswick [CCS130415012]","[1315012]","243","241","",,
"1","New Bandon, New Brunswick [CCS130415016]","[1315016]","244","241","",,
"1","Paquetville, New Brunswick [CCS130415019]","[1315019]","245","241","",,
"1","Caraquet, New Brunswick [CCS130415026]","[1315026]","246","241","",,
"1","Shippagan, New Brunswick [CCS130415029]","[1315029]","247","241","",,
"1","Québec, Quebec [CAR240300000]","[2403]","371","248","",,
"1","Mauricie, Quebec [CAR240400000]","[2404]","413","248","",,
"1","Estrie, Quebec [CAR240500000]","[2405]","451","248","",,
"1","Montréal--Laval, Quebec [CAR240600000]","[2406]","518","248","",,
"1","Lanaudière, Quebec [CAR240700000]","[2407]","523","248","",,
"1","Outaouais, Quebec [CAR240800000]","[2408]","570","248","",,
"1","Laurentides, Quebec [CAR240900000]","[2409]","614","248","",,
"1","Abitibi-Témiscamingue--Nord-du-Québec, Quebec [CAR241000000]","[2410]","660","248","",,
"1","Gaspésie--Îles-de-la-Madeleine, Quebec [CAR241100000]","[2411]","698","248","",,
"1","Chaudière-Appalaches, Quebec [CAR241200000]","[2412]","720","248","",,
"1","Montérégie, Quebec [CAR241300000]","[2413]","839","248","",,
"1","Bas-Saint-Laurent, Quebec [CAR240100000]","[2401]","249","248","",,
"1","Centre-du-Québec, Quebec [CAR241400000]","[2414]","980","248","",,
"1","Saguenay--Lac-Saint-Jean--Côte-Nord, Quebec [CAR240200000]","[2402]","326","248","",,
"1","La Matapédia, Quebec [CD240107000]","[2407]","250","249","",,
"1","La Matanie, Quebec [CD240108000]","[2408]","262","249","",,
"1","La Mitis, Quebec [CD240109000]","[2409]","269","249","",,
"1","Rimouski-Neigette, Quebec [CD240110000]","[2410]","278","249","",,
"1","Les Basques, Quebec [CD240111000]","[2411]","283","249","",,
"1","Rivière-du-Loup, Quebec [CD240112000]","[2412]","291","249","",,
"1","Témiscouata, Quebec [CD240113000]","[2413]","300","249","",,
"1","Kamouraska, Quebec [CD240114000]","[2414]","311","249","",,
"1","Causapscal, Quebec [CCS240107018]","[2407018]","251","250","",,
"1","Albertville, Quebec [CCS240107025]","[2407025]","252","250","",,
"1","Saint-Léon-le-Grand, Quebec [CCS240107030]","[2407030]","253","250","",,
"1","Amqui, Quebec [CCS240107047]","[2407047]","254","250","",,
"1","Val-Brillant, Quebec [CCS240107080]","[2407080]","255","250","",,
"1","Sayabec, Quebec [CCS240107085]","[2407085]","256","250","",,
"1","Saint-Cléophas, Quebec [CCS240107090]","[2407090]","257","250","",,
"1","Routhierville, Quebec [CCS240107902]","[2407902]","258","250","",,
"1","Ruisseau-des-Mineurs, Quebec [CCS240107910]","[2407910]","259","250","",,
"1","Lac-Alfred, Quebec [CCS240107912]","[2407912]","260","250","",,
"1","Lac-Matapédia, Quebec [CCS240107914]","[2407914]","261","250","",,
"1","Grosses-Roches, Quebec [CCS240108015]","[2408015]","263","262","",,
"1","Sainte-Félicité, Quebec [CCS240108023]","[2408023]","264","262","",,
"1","Matane, Quebec [CCS240108053]","[2408053]","265","262","",,
"1","Saint-Ulric, Quebec [CCS240108073]","[2408073]","266","262","",,
"1","Baie-des-Sables, Quebec [CCS240108080]","[2408080]","267","262","",,
"1","Rivière-Bonjour, Quebec [CCS240108902]","[2408902]","268","262","",,
"1","Sainte-Jeanne-d'Arc, Quebec [CCS240109020]","[2409020]","270","269","",,
"1","Saint-Gabriel-de-Rimouski, Quebec [CCS240109025]","[2409025]","271","269","",,
"1","Sainte-Angèle-de-Mérici, Quebec [CCS240109035]","[2409035]","272","269","",,
"1","Saint-Octave-de-Métis, Quebec [CCS240109055]","[2409055]","273","269","",,
"1","Sainte-Flavie, Quebec [CCS240109085]","[2409085]","274","269","",,
"1","Sainte-Luce, Quebec [CCS240109092]","[2409092]","275","269","",,
"1","Lac-des-Eaux-Mortes, Quebec [CCS240109902]","[2409902]","276","269","",,
"1","Lac-à-la-Croix, Quebec [CCS240109904]","[2409904]","277","269","",,
"1","Esprit-Saint, Quebec [CCS240110005]","[2410005]","279","278","",,
"1","Rimouski, Quebec [CCS240110043]","[2410043]","280","278","",,
"1","Saint-Fabien, Quebec [CCS240110070]","[2410070]","281","278","",,
"1","Lac-Huron, Quebec [CCS240110902]","[2410902]","282","278","",,
"1","Saint-Clément, Quebec [CCS240111005]","[2411005]","284","283","",,
"1","Saint-Jean-de-Dieu, Quebec [CCS240111010]","[2411010]","285","283","",,
"1","Saint-Guy, Quebec [CCS240111020]","[2411020]","286","283","",,
"1","Saint-Éloi, Quebec [CCS240111035]","[2411035]","287","283","",,
"1","Notre-Dame-des-Neiges, Quebec [CCS240111045]","[2411045]","288","283","",,
"1","Saint-Mathieu-de-Rioux, Quebec [CCS240111050]","[2411050]","289","283","",,
"1","Saint-Simon-de-Rimouski, Quebec [CCS240111055]","[2411055]","290","283","",,
"1","Saint-Cyprien, Quebec [CCS240112005]","[2412005]","292","291","",,
"1","Saint-Hubert-de-Rivière-du-Loup, Quebec [CCS240112010]","[2412010]","293","291","",,
"1","Saint-Antonin, Quebec [CCS240112015]","[2412015]","294","291","",,
"1","Saint-Épiphane, Quebec [CCS240112030]","[2412030]","295","291","",,
"1","L'Isle-Verte, Quebec [CCS240112043]","[2412043]","296","291","",,
"1","Cacouna, Quebec [CCS240112057]","[2412057]","297","291","",,
"1","Saint-Arsène, Quebec [CCS240112065]","[2412065]","298","291","",,
"1","Rivière-du-Loup, Quebec [CCS240112072]","[2412072]","299","291","",,
"1","Dégelis, Quebec [CCS240113005]","[2413005]","301","300","",,
"1","Saint-Jean-de-la-Lande, Quebec [CCS240113010]","[2413010]","302","300","",,
"1","Saint-Eusèbe, Quebec [CCS240113030]","[2413030]","303","300","",,
"1","Auclair, Quebec [CCS240113045]","[2413045]","304","300","",,
"1","Lejeune, Quebec [CCS240113050]","[2413050]","305","300","",,
"1","Biencourt, Quebec [CCS240113055]","[2413055]","306","300","",,
"1","Lac-des-Aigles, Quebec [CCS240113060]","[2413060]","307","300","",,
"1","Témiscouata-sur-le-Lac, Quebec [CCS240113073]","[2413073]","308","300","",,
"1","Saint-Elzéar-de-Témiscouata, Quebec [CCS240113085]","[2413085]","309","300","",,
"1","Pohénégamook, Quebec [CCS240113095]","[2413095]","310","300","",,
"1","Mont-Carmel, Quebec [CCS240114005]","[2414005]","312","311","",,
"1","Saint-Bruno-de-Kamouraska, Quebec [CCS240114010]","[2414010]","313","311","",,
"1","Saint-Pascal, Quebec [CCS240114018]","[2414018]","314","311","",,
"1","Saint-Alexandre-de-Kamouraska, Quebec [CCS240114035]","[2414035]","315","311","",,
"1","Saint-André-de-Kamouraska, Quebec [CCS240114040]","[2414040]","316","311","",,
"1","Saint-Germain, Quebec [CCS240114045]","[2414045]","317","311","",,
"1","Kamouraska, Quebec [CCS240114050]","[2414050]","318","311","",,
"1","Saint-Denis-De La Bouteillerie, Quebec [CCS240114055]","[2414055]","319","311","",,
"1","Saint-Philippe-de-Néri, Quebec [CCS240114060]","[2414060]","320","311","",,
"1","Rivière-Ouelle, Quebec [CCS240114065]","[2414065]","321","311","",,
"1","Saint-Pacôme, Quebec [CCS240114070]","[2414070]","322","311","",,
"1","Saint-Onésime-d'Ixworth, Quebec [CCS240114080]","[2414080]","323","311","",,
"1","Sainte-Anne-de-la-Pocatière, Quebec [CCS240114090]","[2414090]","324","311","",,
"1","Petit-Lac-Sainte-Anne, Quebec [CCS240114904]","[2414904]","325","311","",,
"1","Manicouagan, Quebec [CD240296000]","[2496]","365","326","",,
