"REF_DATE","GEO","DGUID","Egg production","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Division No.  1, Newfoundland and Labrador [CD100101000]","2021A00031001","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132197","4.2.1","0","B","","","0"
"2021","Division No.  1, Newfoundland and Labrador [CD100101000]","2021A00031001","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132198","4.2.2","0","A","","","0"
"2021","Division No.  1, Subd. C, Newfoundland and Labrador [CCS100101214]","2021S05021001214","Table eggs","Number of farms reporting","Number","223","units","0","v1327132199","5.1.1","1","A","","","0"
"2021","Division No.  1, Subd. C, Newfoundland and Labrador [CCS100101214]","2021S05021001214","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132200","5.1.2","3409411","C","","","0"
"2021","Division No.  1, Subd. C, Newfoundland and Labrador [CCS100101214]","2021S05021001214","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132201","5.2.1","0","B","","","0"
"2021","Division No.  1, Subd. C, Newfoundland and Labrador [CCS100101214]","2021S05021001214","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132202","5.2.2","0","A","","","0"
"2021","Division No.  1, Subd. A, Newfoundland and Labrador [CCS100101259]","2021S05021001259","Table eggs","Number of farms reporting","Number","223","units","0","v1327132203","6.1.1","0","B","","","0"
"2021","Division No.  1, Subd. A, Newfoundland and Labrador [CCS100101259]","2021S05021001259","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132204","6.1.2","0","A","","","0"
"2021","Division No.  1, Subd. A, Newfoundland and Labrador [CCS100101259]","2021S05021001259","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132205","6.2.1","0","B","","","0"
"2021","Division No.  1, Subd. A, Newfoundland and Labrador [CCS100101259]","2021S05021001259","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132206","6.2.2","0","A","","","0"
"2021","Division No.  1, Subd. E, Newfoundland and Labrador [CCS100101304]","2021S05021001304","Table eggs","Number of farms reporting","Number","223","units","0","v1327132207","7.1.1","4","A","","","0"
"2021","Division No.  1, Subd. E, Newfoundland and Labrador [CCS100101304]","2021S05021001304","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132208","7.1.2","","F","","","0"
"2021","Division No.  1, Subd. E, Newfoundland and Labrador [CCS100101304]","2021S05021001304","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132209","7.2.1","0","B","","","0"
"2021","Division No.  1, Subd. E, Newfoundland and Labrador [CCS100101304]","2021S05021001304","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132210","7.2.2","0","A","","","0"
"2021","Division No.  1, Subd. H, Newfoundland and Labrador [CCS100101357]","2021S05021001357","Table eggs","Number of farms reporting","Number","223","units","0","v1327132211","8.1.1","0","B","","","0"
"2021","Division No.  1, Subd. H, Newfoundland and Labrador [CCS100101357]","2021S05021001357","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132212","8.1.2","0","A","","","0"
"2021","Division No.  1, Subd. H, Newfoundland and Labrador [CCS100101357]","2021S05021001357","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132213","8.2.1","0","B","","","0"
"2021","Division No.  1, Subd. H, Newfoundland and Labrador [CCS100101357]","2021S05021001357","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132214","8.2.2","0","A","","","0"
"2021","Holyrood, Newfoundland and Labrador [CCS100101472]","2021S05021001472","Table eggs","Number of farms reporting","Number","223","units","0","v1327132215","9.1.1","5","B","","","0"
"2021","Holyrood, Newfoundland and Labrador [CCS100101472]","2021S05021001472","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132216","9.1.2","8202000","B","","","0"
"2021","Holyrood, Newfoundland and Labrador [CCS100101472]","2021S05021001472","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132217","9.2.1","0","C","","","0"
"2021","Holyrood, Newfoundland and Labrador [CCS100101472]","2021S05021001472","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132218","9.2.2","0","A","","","0"
"2021","St. John's, Newfoundland and Labrador [CCS100101519]","2021S05021001519","Table eggs","Number of farms reporting","Number","223","units","0","v1327132219","10.1.1","8","B","","","0"
"2021","St. John's, Newfoundland and Labrador [CCS100101519]","2021S05021001519","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132220","10.1.2","","F","","","0"
"2021","St. John's, Newfoundland and Labrador [CCS100101519]","2021S05021001519","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132221","10.2.1","0","B","","","0"
"2021","St. John's, Newfoundland and Labrador [CCS100101519]","2021S05021001519","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132222","10.2.2","0","A","","","0"
"2021","Division No.  2, Newfoundland and Labrador [CD100102000]","2021A00031002","Table eggs","Number of farms reporting","Number","223","units","0","v1327132223","11.1.1","0","B","","","0"
"2021","Division No.  2, Newfoundland and Labrador [CD100102000]","2021A00031002","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132224","11.1.2","0","A","","","0"
"2021","Division No.  2, Newfoundland and Labrador [CD100102000]","2021A00031002","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132225","11.2.1","0","B","","","0"
"2021","Division No.  2, Newfoundland and Labrador [CD100102000]","2021A00031002","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132226","11.2.2","0","A","","","0"
"2021","Division No.  2, Subd. E, Newfoundland and Labrador [CCS100102001]","2021S05021002001","Table eggs","Number of farms reporting","Number","223","units","0","v1327132227","12.1.1","0","B","","","0"
"2021","Division No.  2, Subd. E, Newfoundland and Labrador [CCS100102001]","2021S05021002001","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132228","12.1.2","0","A","","","0"
"2021","Division No.  2, Subd. E, Newfoundland and Labrador [CCS100102001]","2021S05021002001","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132229","12.2.1","0","B","","","0"
"2021","Division No.  2, Subd. E, Newfoundland and Labrador [CCS100102001]","2021S05021002001","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132230","12.2.2","0","A","","","0"
"2021","Census Agricultural Region 2, Newfoundland and Labrador [CAR100200000]","2021S05011002","Table eggs","Number of farms reporting","Number","223","units","0","v1327132231","13.1.1","9","B","","","0"
"2021","Census Agricultural Region 2, Newfoundland and Labrador [CAR100200000]","2021S05011002","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132232","13.1.2","","F","","","0"
"2021","Census Agricultural Region 2, Newfoundland and Labrador [CAR100200000]","2021S05011002","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132233","13.2.1","4","C","","","0"
"2021","Census Agricultural Region 2, Newfoundland and Labrador [CAR100200000]","2021S05011002","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132234","13.2.2","","F","","","0"
"2021","Division No.  3, Newfoundland and Labrador [CD100203000]","2021A00031003","Table eggs","Number of farms reporting","Number","223","units","0","v1327132235","14.1.1","1","A","","","0"
"2021","Division No.  3, Newfoundland and Labrador [CD100203000]","2021A00031003","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132236","14.1.2","77","C","","","0"
"2021","Division No.  3, Newfoundland and Labrador [CD100203000]","2021A00031003","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132237","14.2.1","1","A","","","0"
"2021","Division No.  3, Newfoundland and Labrador [CD100203000]","2021A00031003","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132238","14.2.2","12","B","","","0"
"2021","Division No.  3, Subd. A, Newfoundland and Labrador [CCS100203001]","2021S05021003001","Table eggs","Number of farms reporting","Number","223","units","0","v1327132239","15.1.1","1","A","","","0"
"2021","Division No.  3, Subd. A, Newfoundland and Labrador [CCS100203001]","2021S05021003001","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132240","15.1.2","77","C","","","0"
"2021","Division No.  3, Subd. A, Newfoundland and Labrador [CCS100203001]","2021S05021003001","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132241","15.2.1","1","A","","","0"
"2021","Division No.  3, Subd. A, Newfoundland and Labrador [CCS100203001]","2021S05021003001","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132242","15.2.2","12","B","","","0"
"2021","Division No.  6, Newfoundland and Labrador [CD100206000]","2021A00031006","Table eggs","Number of farms reporting","Number","223","units","0","v1327132243","16.1.1","2","C","","","0"
"2021","Division No.  6, Newfoundland and Labrador [CD100206000]","2021A00031006","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132244","16.1.2","","F","","","0"
"2021","Division No.  6, Newfoundland and Labrador [CD100206000]","2021A00031006","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132245","16.2.1","1","E","","","0"
"2021","Division No.  6, Newfoundland and Labrador [CD100206000]","2021A00031006","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132246","16.2.2","10","E","","","0"
"2021","Division No.  6, Subd. C, Newfoundland and Labrador [CCS100206014]","2021S05021006014","Table eggs","Number of farms reporting","Number","223","units","0","v1327132247","17.1.1","2","C","","","0"
"2021","Division No.  6, Subd. C, Newfoundland and Labrador [CCS100206014]","2021S05021006014","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132248","17.1.2","","F","","","0"
"2021","Division No.  6, Subd. C, Newfoundland and Labrador [CCS100206014]","2021S05021006014","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132249","17.2.1","1","E","","","0"
"2021","Division No.  6, Subd. C, Newfoundland and Labrador [CCS100206014]","2021S05021006014","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132250","17.2.2","10","E","","","0"
"2021","Division No.  7, Newfoundland and Labrador [CD100207000]","2021A00031007","Table eggs","Number of farms reporting","Number","223","units","0","v1327132251","18.1.1","1","A","","","0"
"2021","Division No.  7, Newfoundland and Labrador [CD100207000]","2021A00031007","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132252","18.1.2","","F","","","0"
"2021","Division No.  7, Newfoundland and Labrador [CD100207000]","2021A00031007","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132253","18.2.1","0","B","","","0"
"2021","Division No.  7, Newfoundland and Labrador [CD100207000]","2021A00031007","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132254","18.2.2","0","A","","","0"
"2021","Division No.  7, Subd. F, Newfoundland and Labrador [CCS100207028]","2021S05021007028","Table eggs","Number of farms reporting","Number","223","units","0","v1327132255","19.1.1","0","B","","","0"
"2021","Division No.  7, Subd. F, Newfoundland and Labrador [CCS100207028]","2021S05021007028","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132256","19.1.2","0","A","","","0"
"2021","Division No.  7, Subd. F, Newfoundland and Labrador [CCS100207028]","2021S05021007028","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132257","19.2.1","0","B","","","0"
"2021","Division No.  7, Subd. F, Newfoundland and Labrador [CCS100207028]","2021S05021007028","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132258","19.2.2","0","A","","","0"
"2021","Division No.  7, Subd. E, Newfoundland and Labrador [CCS100207031]","2021S05021007031","Table eggs","Number of farms reporting","Number","223","units","0","v1327132259","20.1.1","1","A","","","0"
"2021","Division No.  7, Subd. E, Newfoundland and Labrador [CCS100207031]","2021S05021007031","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132260","20.1.2","","F","","","0"
"2021","Division No.  7, Subd. E, Newfoundland and Labrador [CCS100207031]","2021S05021007031","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132261","20.2.1","0","B","","","0"
"2021","Division No.  7, Subd. E, Newfoundland and Labrador [CCS100207031]","2021S05021007031","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132262","20.2.2","0","A","","","0"
"2021","Division No.  8, Newfoundland and Labrador [CD100208000]","2021A00031008","Table eggs","Number of farms reporting","Number","223","units","0","v1327132263","21.1.1","5","B","","","0"
"2021","Division No.  8, Newfoundland and Labrador [CD100208000]","2021A00031008","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132264","21.1.2","","F","","","0"
"2021","Division No.  8, Newfoundland and Labrador [CD100208000]","2021A00031008","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132265","21.2.1","2","C","","","0"
"2021","Division No.  8, Newfoundland and Labrador [CD100208000]","2021A00031008","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132266","21.2.2","","F","","","0"
"2021","Division No.  8, Subd. G, Newfoundland and Labrador [CCS100208036]","2021S05021008036","Table eggs","Number of farms reporting","Number","223","units","0","v1327132267","22.1.1","3","C","","","0"
"2021","Division No.  8, Subd. G, Newfoundland and Labrador [CCS100208036]","2021S05021008036","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132268","22.1.2","","F","","","0"
"2021","Division No.  8, Subd. G, Newfoundland and Labrador [CCS100208036]","2021S05021008036","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132269","22.2.1","2","C","","","0"
"2021","Division No.  8, Subd. G, Newfoundland and Labrador [CCS100208036]","2021S05021008036","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132270","22.2.2","","F","","","0"
"2021","Division No.  8, Subd. C, Newfoundland and Labrador [CCS100208058]","2021S05021008058","Table eggs","Number of farms reporting","Number","223","units","0","v1327132271","23.1.1","2","A","","","0"
"2021","Division No.  8, Subd. C, Newfoundland and Labrador [CCS100208058]","2021S05021008058","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132272","23.1.2","","F","","","0"
"2021","Division No.  8, Subd. C, Newfoundland and Labrador [CCS100208058]","2021S05021008058","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132273","23.2.1","0","B","","","0"
"2021","Division No.  8, Subd. C, Newfoundland and Labrador [CCS100208058]","2021S05021008058","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132274","23.2.2","0","A","","","0"
"2021","Census Agricultural Region 3, Newfoundland and Labrador [CAR100300000]","2021S05011003","Table eggs","Number of farms reporting","Number","223","units","0","v1327132275","24.1.1","7","A","","","0"
"2021","Census Agricultural Region 3, Newfoundland and Labrador [CAR100300000]","2021S05011003","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132276","24.1.2","","F","","","0"
"2021","Census Agricultural Region 3, Newfoundland and Labrador [CAR100300000]","2021S05011003","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132277","24.2.1","1","A","","","0"
"2021","Census Agricultural Region 3, Newfoundland and Labrador [CAR100300000]","2021S05011003","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132278","24.2.2","","F","","","0"
"2021","Division No.  4, Newfoundland and Labrador [CD100304000]","2021A00031004","Table eggs","Number of farms reporting","Number","223","units","0","v1327132279","25.1.1","4","A","","","0"
"2021","Division No.  4, Newfoundland and Labrador [CD100304000]","2021A00031004","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132280","25.1.2","","F","","","0"
"2021","Division No.  4, Newfoundland and Labrador [CD100304000]","2021A00031004","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132281","25.2.1","0","B","","","0"
"2021","Division No.  4, Newfoundland and Labrador [CD100304000]","2021A00031004","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132282","25.2.2","0","A","","","0"
"2021","Division No.  4, Subd. B, Newfoundland and Labrador [CCS100304006]","2021S05021004006","Table eggs","Number of farms reporting","Number","223","units","0","v1327132283","26.1.1","4","A","","","0"
"2021","Division No.  4, Subd. B, Newfoundland and Labrador [CCS100304006]","2021S05021004006","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132284","26.1.2","","F","","","0"
"2021","Division No.  4, Subd. B, Newfoundland and Labrador [CCS100304006]","2021S05021004006","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132285","26.2.1","0","B","","","0"
"2021","Division No.  4, Subd. B, Newfoundland and Labrador [CCS100304006]","2021S05021004006","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132286","26.2.2","0","A","","","0"
"2021","Division No.  5, Newfoundland and Labrador [CD100305000]","2021A00031005","Table eggs","Number of farms reporting","Number","223","units","0","v1327132287","27.1.1","2","A","","","0"
"2021","Division No.  5, Newfoundland and Labrador [CD100305000]","2021A00031005","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132288","27.1.2","","F","","","0"
"2021","Division No.  5, Newfoundland and Labrador [CD100305000]","2021A00031005","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132289","27.2.1","0","B","","","0"
"2021","Division No.  5, Newfoundland and Labrador [CD100305000]","2021A00031005","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132290","27.2.2","0","A","","","0"
"2021","Division No.  5, Subd. E, Newfoundland and Labrador [CCS100305007]","2021S05021005007","Table eggs","Number of farms reporting","Number","223","units","0","v1327132291","28.1.1","0","A","","","0"
"2021","Division No.  5, Subd. E, Newfoundland and Labrador [CCS100305007]","2021S05021005007","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132292","28.1.2","0","A","","","0"
"2021","Division No.  5, Subd. E, Newfoundland and Labrador [CCS100305007]","2021S05021005007","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132293","28.2.1","0","A","","","0"
"2021","Division No.  5, Subd. E, Newfoundland and Labrador [CCS100305007]","2021S05021005007","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132294","28.2.2","0","A","","","0"
"2021","Division No.  5, Subd. F, Newfoundland and Labrador [CCS100305010]","2021S05021005010","Table eggs","Number of farms reporting","Number","223","units","0","v1327132295","29.1.1","2","A","","","0"
"2021","Division No.  5, Subd. F, Newfoundland and Labrador [CCS100305010]","2021S05021005010","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132296","29.1.2","","F","","","0"
"2021","Division No.  5, Subd. F, Newfoundland and Labrador [CCS100305010]","2021S05021005010","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132297","29.2.1","0","B","","","0"
"2021","Division No.  5, Subd. F, Newfoundland and Labrador [CCS100305010]","2021S05021005010","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132298","29.2.2","0","A","","","0"
"2021","Division No.  9, Newfoundland and Labrador [CD100309000]","2021A00031009","Table eggs","Number of farms reporting","Number","223","units","0","v1327132299","30.1.1","0","A","","","0"
"2021","Division No.  9, Newfoundland and Labrador [CD100309000]","2021A00031009","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132300","30.1.2","0","A","","","0"
"2021","Division No.  9, Newfoundland and Labrador [CD100309000]","2021A00031009","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132301","30.2.1","0","B","","","0"
"2021","Division No.  9, Newfoundland and Labrador [CD100309000]","2021A00031009","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132302","30.2.2","0","A","","","0"
"2021","Division No.  9, Subd. F, Newfoundland and Labrador [CCS100309001]","2021S05021009001","Table eggs","Number of farms reporting","Number","223","units","0","v1327132303","31.1.1","0","A","","","0"
"2021","Division No.  9, Subd. F, Newfoundland and Labrador [CCS100309001]","2021S05021009001","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132304","31.1.2","0","A","","","0"
"2021","Division No.  9, Subd. F, Newfoundland and Labrador [CCS100309001]","2021S05021009001","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132305","31.2.1","0","B","","","0"
"2021","Division No.  9, Subd. F, Newfoundland and Labrador [CCS100309001]","2021S05021009001","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132306","31.2.2","0","A","","","0"
"2021","Division No. 10, Newfoundland and Labrador [CD100310000]","2021A00031010","Table eggs","Number of farms reporting","Number","223","units","0","v1327132307","32.1.1","1","A","","","0"
"2021","Division No. 10, Newfoundland and Labrador [CD100310000]","2021A00031010","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132308","32.1.2","","F","","","0"
"2021","Division No. 10, Newfoundland and Labrador [CD100310000]","2021A00031010","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132309","32.2.1","1","A","","","0"
"2021","Division No. 10, Newfoundland and Labrador [CD100310000]","2021A00031010","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132310","32.2.2","10","E","","","0"
"2021","Division No. 10, Subd. A, Newfoundland and Labrador [CCS100310001]","2021S05021010001","Table eggs","Number of farms reporting","Number","223","units","0","v1327132311","33.1.1","1","A","","","0"
"2021","Division No. 10, Subd. A, Newfoundland and Labrador [CCS100310001]","2021S05021010001","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132312","33.1.2","","F","","","0"
"2021","Division No. 10, Subd. A, Newfoundland and Labrador [CCS100310001]","2021S05021010001","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132313","33.2.1","1","A","","","0"
"2021","Division No. 10, Subd. A, Newfoundland and Labrador [CCS100310001]","2021S05021010001","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132314","33.2.2","10","E","","","0"
"2021","Division No. 11, Newfoundland and Labrador [CD100311000]","2021A00031011","Table eggs","Number of farms reporting","Number","223","units","0","v1327132315","34.1.1","0","A","","","0"
"2021","Division No. 11, Newfoundland and Labrador [CD100311000]","2021A00031011","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132316","34.1.2","0","A","","","0"
"2021","Division No. 11, Newfoundland and Labrador [CD100311000]","2021A00031011","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132317","34.2.1","0","A","","","0"
"2021","Division No. 11, Newfoundland and Labrador [CD100311000]","2021A00031011","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132318","34.2.2","0","A","","","0"
"2021","Division No. 11, Subd. C, Newfoundland and Labrador [CCS100311005]","2021S05021011005","Table eggs","Number of farms reporting","Number","223","units","0","v1327132319","35.1.1","0","A","","","0"
"2021","Division No. 11, Subd. C, Newfoundland and Labrador [CCS100311005]","2021S05021011005","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132320","35.1.2","0","A","","","0"
"2021","Division No. 11, Subd. C, Newfoundland and Labrador [CCS100311005]","2021S05021011005","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132321","35.2.1","0","A","","","0"
"2021","Division No. 11, Subd. C, Newfoundland and Labrador [CCS100311005]","2021S05021011005","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132322","35.2.2","0","A","","","0"
"2021","Division No. 11, Subd. E, Newfoundland and Labrador [CCS100311040]","2021S05021011040","Table eggs","Number of farms reporting","Number","223","units","0","v1327132323","36.1.1","0","A","","","0"
"2021","Division No. 11, Subd. E, Newfoundland and Labrador [CCS100311040]","2021S05021011040","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132324","36.1.2","0","A","","","0"
"2021","Division No. 11, Subd. E, Newfoundland and Labrador [CCS100311040]","2021S05021011040","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132325","36.2.1","0","A","","","0"
"2021","Division No. 11, Subd. E, Newfoundland and Labrador [CCS100311040]","2021S05021011040","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132326","36.2.2","0","A","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","Table eggs","Number of farms reporting","Number","223","units","0","v1327132327","37.1.1","49","B","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132328","37.1.2","3644540","D","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132329","37.2.1","1","A","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132330","37.2.2","","F","","","0"
"2021","Census Agricultural Region 1, Prince Edward Island [CAR110100000]","2021S05011101","Table eggs","Number of farms reporting","Number","223","units","0","v1327132331","38.1.1","6","B","","","0"
"2021","Census Agricultural Region 1, Prince Edward Island [CAR110100000]","2021S05011101","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132332","38.1.2","","F","","","0"
"2021","Census Agricultural Region 1, Prince Edward Island [CAR110100000]","2021S05011101","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132333","38.2.1","1","A","","","0"
"2021","Census Agricultural Region 1, Prince Edward Island [CAR110100000]","2021S05011101","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132334","38.2.2","5","E","","","0"
"2021","Kings, Prince Edward Island [CD110101000]","2021A00031101","Table eggs","Number of farms reporting","Number","223","units","0","v1327132335","39.1.1","6","B","","","0"
"2021","Kings, Prince Edward Island [CD110101000]","2021A00031101","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132336","39.1.2","","F","","","0"
"2021","Kings, Prince Edward Island [CD110101000]","2021A00031101","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132337","39.2.1","1","A","","","0"
"2021","Kings, Prince Edward Island [CD110101000]","2021A00031101","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132338","39.2.2","5","E","","","0"
"2021","Murray River, Part 1, Prince Edward Island [CCS110101005]","2021S05021101005","Table eggs","Number of farms reporting","Number","223","units","0","v1327132339","40.1.1","1","A","","","0"
